ABF	abej-'Ef
wokšył	hOks`3/*+w
gowjezyma	goUjEz3/*+ma
torjecu	tOr*jEtsu
wušrankowanem	hus`raNkoUanEm
dekaederach	deka'edErax
wuskokajtej	huskOkaItej
zapowjesenjow	zapoUe*^EsEJow
inlineskatowachmej	'1nlaIn'sketowaxmej
zbrjakanju	zbr*jakaJu
wuwólnichmy	huw3lJixm3/*+
pódměšani	p3dmIs`aJi
formularach	fOrmu'larax
wobwjertnu	hObwe*^Ertnu
zlěpšowašo	zlIps`oUas`O
półakajo	p3wakaIO
znjebydlechu	zJEb3/*+dl*jExu
rozšyrjatej	rOss`3/*+r*jatej
pśipłatujom	ps+ipwatujOm
wólinanjow	w3linaJoU
skorigěrowanej	skOri'gIrowanej
sprampanego	sprampanEgO
kartawsach	kHartHaUzax
pśekidujośo	ps+EkidujOs+O
špruchowu	s`pruxoUu
zabrinkotani	zabriNkOtaJi
pśekwakujuce	ps+EkwakujutsE
grědoma	grIdOma
zwuštapowanym	zwus`tapoUan3/*+m
wobjatšownemu	hObjats`oUnEmu
natšurał	nats`uraU
dowarich	doUarix
kritizěrowanjoma	kriti'zIrowaJOma
zdeklarěrował	zdekla'rIrowaw
derkotanej	dErkOtanej
konstituentneju	kHOnstitu'Entneju
wóśerlił	w3s+Erliw
pódpłatowanych	p3tpwatoUan3/*+x
prezesu	prezEsu
zdychajmej	zd3/*+xaImej
chórosćow	xErOsts+oU
wopuchnjoš	hOpuxJOs`
wótnosenjoma	w3tnOsEJOma
zastarujośo	zastarujOs+O
wódosłonami	w3dOswOnami
pśiźěwanja	ps+iz+IwaJa
zasekowanym	zasEkoUan3/*+m
konusoma	kHon}sOma
wuklokanjami	huklOkaJami
srokatym	srOkat3/*+m
zdrěmanim	zdrImaJim
coologowku	'tsoo'logowku
póžywarstwa	p3z`3/*+war*jstwa
póžywaŕstwa	p3z`3/*+war*jstwa
zalatemu	zalatEmu
pśisedujmy	ps+isEdujm3/*+
bazaltnišću	ba'zaltJis+ts+u
zastupujucu	zastupujutsu
wopałkanje	hOpaUkaJE
pśesłabjone	ps+EswabjOnE
reprezentantami	reprEzEn'tantami
kaznidawarstwo	kazJidaUar*jstwO
kaznidawaŕstwo	kazJidaUar*jstwO
kjachak	kjaxak
zažednyma	zaz`Edn3/*+ma
murjonu	mur*jOnu
nakluwa	nakluwa
dopšosyjotej	dOps`Os3/*+jOtej
pśepomogajucych	ps+EpOmOgaIuts3/*+x
capotate	tsapOtatE
pśiwóstśowanem	ps+iw3sts+oUanEm
pógóršył	p3gErs`3/*+w
Chudowiny	xudoUin3/*+
zakjachlonem	zakjaxlOnEm
nurknjomy	nurkJOm3/*+
wupśedogónjowachmej	hups+EdOgEJoUaxmej
łykotanjoma	w3/*+kOtaJOma
wulichujuca	hulixujutsa
zašlapjonych	zas`lapjOn3/*+x
Synjeńcam	s3/*+JEJtsam
wurědnjanjeju	hurIdJaneju
zwuštapcujomej	zwus`taptsujOmej
efektiwnosćoma	EfE'ktHi:vnOsts+Oma
póklapnjoš	p3klapJOs`
dopalony	dOpalOn3/*+
wutałužony	hutaUuz`On3/*+
wobeganjanjoma	hObEgaJaJOma
kamferowymi	kHamfEroU3/*+mi
póliptej	p3liptej
naplumpowanemu	naplumpoUanEmu
wóźerganju	w3z+ErgaJu
wugbanjoma	hugbaJOma
rojnika	rOYJika
hurahujo	hu'rahujO
wugónjujucu	hugEJujutsu
rozkwitanjach	rOskwitaJax
wónjecesćich	w3JEtsEsts+ix
kalkowanje	kHalkoUaJE
wósoliłej	w3sOliwej
pśenuźišćo	ps+Enuz+is+ts+O
jabłonnego	jabwOnEgO
wusłyšachu	husw3/*+s`axu
dozwěšćowat	dOzwIs+ts+oUat
póteptowanjach	p3tEptoUaJax
wobtergujuceju	hOptErgujutseju
dobrotniki	dObrOtJiki
wózykowu	w3z3/*+koUu
pśizadrěśu	ps+izadrIs+u
kontingentěrowanje	kHOnt1NgEn'tHIrowaJE
absolutistiskeje	apzolu'tH1stiskejE
źěkowarna	z+IkoUarna
zaswinjoneje	zaswiJOnejE
pigmentowyma	pH1'gmEntow3/*+ma
stajnišćach	staIJis+ts+ax
kózoma	k3zOma
Błośanarjoma	bOs+anar*jOma
meliorěrujucu	meljo'rIrujutsu
absolwěrowachu	apzOl'vIrowaxu
wobtužnu	hOptuz`nu
Lěnickow	lIJitskoU
interconalnyma	1ntErtso'naln3/*+ma
pśirosćoneje	ps+irOsts+OnejE
zatśěsło	zats+IswO
wutšubjony	huts`ubjOn3/*+
Matowu	matoUu
zatšubjonyma	zats`ubjOn3/*+ma
wusedajmej	husEdaImej
kružkowym	krus`koU3/*+m
pśemokachmej	ps+EmOkaxmej
dekliněrowani	dekli'nIrowaJi
zamótajomy	zamEtaIOm3/*+
Žrakowarja	z`rakoUar*ja
šwyrach	s`w3/*+rax
chórjechmy	xEr*jExm3/*+
drasćimej	drasts+imej
wedutoweju	vE'dutoweju
deriwata	deri'va:ta
rozklapnjom	rOsklapJOm
figurěrujomy	figu'rIrujOm3/*+
Debriku	dEbriku
Klawjeńce	klaUe*^EJtsE
wyrlitej	w3/*+rlitej
tyšarjuj	t3/*+s`ar*juj
kónjackujucych	k3Jatskujuts3/*+x
šlentśawu	s`l*jEnts+aUu
pódbitujuca	p3dbitujutsa
Glormuse	glOrmusE
wobdarjeńcoma	hObdar*jEJtsOma
wjerškate	we*^Ers`katE
wuwjergani	huwe*^ErgaJi
wuwinglišćo	huwiNglis+ts+O
spódobni	sp3dObJi
pilgrowanej	pH1lgroUanej
pódnajmaśo	p3dnaImas+O
tšunowyma	ts`unoU3/*+ma
dorostowała	dOrOstoUaUa
stśělcojstwu	sts+IltsOYstwu
Rědkich	rItkix
raškujuca	ras`kujutsa
oktobery	Ok'tHobEr3/*+
zamawowanjow	zamaUoUaJow
wobšemrjenim	hOps`Emr*jEJim
wósymzłožkowym	w3s3/*+mzwOs`koU3/*+m
dušowanej	dus`oUanej
zwónimjenje	zw3Jime*^EJE
łojśow	wOYs+oU
rewizionistiskeju	revizjo'n1stiskeju
wujśpjonyma	hujs+pjOn3/*+ma
zawóźewachmy	zaU3z+Ewaxm3/*+
napominowałej	napOminoUaUej
mjazywjelikosćami	mjaz3/*+we*^ElikOsts+ami
rozežrawajucy	rOzEz`raUaIuts3/*+
zaparowyjośo	zaparoU3/*+jOs+O
wucympjoš	huts3/*+mpjOs`
prasłowjańšćinowu	praswoUjaJs+ts+inowu
pśiprowstaś	ps+iproUstas+
jerjebinam	jEr*jEbinam
smešowani	smEs`oUaJi
aktiwěrujuce	akti'vIrujutsE
wudospołnjonym	hudOspoUJOn3/*+m
awstriacizmoma	aUstria'ts1zmOma
nawumjatowachmej	nahumjatoUaxmej
šćanitu	s+ts+aJitu
Wjelcyma	we*^Elts3/*+ma
kloftarje	klOftar*jE
pśepóžrěchmej	ps+Ep3z`rIxmej
kulkiwobrězowaku	'kulki'hObrIzowaku
dopśewrotowego	dOps+EwrOtoUEgO
dokowajotej	dOkoUaIOtej
konfederěrowaštej	kOnfede'rIrowas`tej
dalejpśeźěłanjeju	dalejps+Ez+Iwaneju
gibawje	gibaUe*^E
kšušonka	ks`us`ONka
woblogrujmej	hOblOgrujmej
pśilěpšujucej	ps+ilIps`ujutsej
kšetowemu	ks`EtoUEmu
wupśěgujuce	hups+IgujutsE
zmańšanym	zmaJs`an3/*+m
pěśśpine	pIs+pinE
donapiteju	dOnapiteju
krotkowidnosćach	krOtkOwidnOsts+ax
zamóžeńskopšawniska	'zamEz`EJskOˌps`awJiska
kowalowało	koUalowaUO
sedaka	sEdaka
wuglaŕnjam	huglar*jJam
wuglarnjam	huglar*jJam
bijucego	bijutsEgO
wóžynanjowu	w3z`3/*+naJoUu
kooperacijach	koOpE'ratsijax
migocomy	migOtsOm3/*+
słyšańku	sw3/*+s`aINku
pśiśiskach	ps+is+iskax
kontrahěrujucym	kOntra'hIrujuts3/*+m
komunicěrujuce	kOmuJi'tsIrujutsE
refleksiwnosćam	rEfl*jEksiwnOsts+am
litografoma	lito'gra:fOma
wutšumpał	huts`umpaU
sfleksibilizěrowane	sfl*jEksibili'zIrowanE
kurjawkowjecy	kur*jaUkoUjEts3/*+
transforměrujmy	transfOrmIrujm3/*+
Dubrińkoju	dubriNkOYu
rozchopi	rOsxOpi
woblažkujucym	hOblas`kujuts3/*+m
zastaraŕkach	zastarar*jkax
zastararkach	zastarar*jkax
wujachlijomy	hujaxlijOm3/*+
miknut	miknut
widłowach	widwoUax
pśekšasenjam	ps+Eks`asEJam
kooptěrowanym	koOp'tIrowan3/*+m
šluzoma	s`luzOma
geranije	ge'raJijE
pśiwuc	ps+iwuts
nawjedujo	naUe*^EdujO
bubańcujucu	bubaJtsujutsu
zinwentarizěrowanemu	z1nvEntari'zIrowanEmu
wuchylatej	hux3/*+latej
pampuchom	pampuxOm
rozbuchujucym	rOzbuxujuts3/*+m
wupuchanym	hupuxan3/*+m
urologowkami	uro'logowkami
pinzlowany	p1nzloUan3/*+
rozćišćaneju	rOsts+is+ts+aneju
pśijězdźujucyma	ps+ijIzdz+ujuts3/*+ma
nadlězć	nadlIsts+
klimakórty	klimak3rt3/*+
wulězujucyma	hulIzujuts3/*+ma
wupołnijośo	hupoUJijOs+O
brjaknuchu	br*jaknuxu
nasłodkowałej	naswOtkoUaUej
pśisudom	ps+isudOm
milicy	mi'lits3/*+
Bejcoma	bejtsOma
mignuchu	mignuxu
pśelejmy	ps+Elejm3/*+
wótkwitowanem	w3tkwitoUanEm
łaskosćiś	waskOsts+is+
póšnypajoš	p3s`n3/*+paIOs`
Grogorkoma	grOgOrkOma
wótkóšyt	w3tk3s`3/*+t
wobstudnimy	hOpstudJim3/*+
zawónjujuceju	zaU3Jujutseju
pśestśělijo	ps+Ests+IlijO
rozgriwiłej	rOzgriwiwej
rozgibašćo	rOzgibas+ts+O
topjaŕnjoma	tOpjar*jJOma
roznogowanjach	rOznOgoUaJax
Wšola	s`Ola
Kjasom	kjasOm
pśešwyrajmej	ps+Es`w3/*+raImej
posesiwowego	pOsEsiwoUEgO
kosmologijam	kOsmolo'gijam
dwójkowych	dw3jkoU3/*+x
wunuchnjonych	hunuxJOn3/*+x
rumkom	rumkOm
zasłane	zaswanE
šlamowjecyma	s`lamoUjEts3/*+ma
buženjami	buz`EJami
wobłakomjenjami	hObwakOme*^EJami
medikamentozna	medikamEn'tozna
awtodidaktiskich	aUtOdidaktiskix
Zojtu	zOYtu
wótrozdźěrnjonemu	w3trOzdz+IrJOnEmu
rotěrowanjoma	ro'tIrowaJOma
nopje	nOpe*^E
zarza	zarza
wobkórjenjenja	hOpk3r*jEJEJa
wěcejdnjownem	wItsejdJoUnEm
popjelnicow	pOpe*^ElJitsow
pódejśpny	p3dejs+pn3/*+
chwalaŕsku	xwalar*jsku
tśiźasćalětny	ts+iz+asts+alItn3/*+
Kowicoma	koUitsOma
rokitoma	rOkitOma
wótdunjonymi	w3duJOn3/*+mi
pśesmaslit	ps+Esmaslit
wónoźenim	w3nOz+EJim
kilobytu	kilobaItu
rozcesujośo	rOstsEsujOs+O
pśinajm	ps+inaIm
Limbarkoma	limbarkOma
harpuněrujośo	harpu'nIrujOs+O
póchytajośo	p3x3/*+taIOs+O
wóźěłowanej	w3z+IwoUanej
spněło	spJIwO
wjelbujuceje	we*^ElbujutsejE
pórejtujoš	p3rejtujOs`
zamrozujomej	zamrOzujOmej
antikwariskima	anti'kwariskima
blědowatu	blIdoUatu
minutam	mi'nutam
głuposćach	gwupOsts+ax
reflektoriskimi	rEfl*jEk'toriskimi
wułakowanemu	huwakoUanEmu
zaśěgnjenjam	zas+IgJEJam
laminatowu	lami'natowu
wusodłanym	husOdwan3/*+m
patentoweje	pa'tEntowejE
wóteběrašo	w3tEbIras`O
stacionarnjej	statsiOnarJej
semasiologijoma	zEmaziolo'gijOma
rozkusanja	rOskusaJa
Aleksandra	al*jEk'sandra
Dylanom	d3/*+lanOm
žurnjejucych	z`urJejuts3/*+x
samorozwjaselarjami	samOrOzwjasElar*jami
pódgni	p3dgJi
turkowjece	turkoUjEtsE
chuźinki	xuz+iNki
blumbajucym	blumbaIuts3/*+m
Kopnikom	kOpJikOm
skringlone	skriNglOnE
pśipowědujucem	ps+ipoUIdujutsEm
drainami	drejnami
wurozscynjujomy	hurOsts3/*+JujOm3/*+
wuflipujucej	hufl1pujutsej
pódrosćiła	p3drOsts+iwa
pśeraźanu	ps+Eraz+anu
pśedmóstna	ps+EdmEstna
knypsowana	kn3/*+psoUana
rudowišća	rudoUis+ts+a
maršćecymi	mars+ts+Ets3/*+mi
sćerbišćo	sts+Erbis+ts+O
zetśěsonemu	zEts+IsOnEmu
dryb	dr3/*+p
rowninoma	roUJinOma
Grědkarjowu	grItkar*joUu
napšašanymi	naps`as`an3/*+mi
samozapalowakami	samOzapaloUakami
pśipěśa	ps+ipIs+a
blombajucego	blOmbaIutsEgO
zešnypajmej	zEs`n3/*+paImej
komisijnej	kO'm1sijnej
wužwatorjonym	huz`watOr*jOn3/*+m
tepiškoma	tEpis`kOma
napisujucej	napisujutsej
wupjekorjoneju	hupe*^EkOr*jOneju
póbušenju	p3bus`EJu
Haješow	HaIEs`oU
dentistkow	dEnt1stkoU
koncentrěrujucyma	kOntsEn'trIrujuts3/*+ma
wukalašowani	hukalas`oUaJi
stojnišćom	stOYJis+ts+Om
pósćiwankowu	p3sts+iwaNkoUu
sypnjomej	s3/*+pJOmej
wusrańcam	husraJtsam
cynikarjoma	tsyJikar*jOma
regeneratiwnem	regEnEra'tivnEm
maršěrowane	mars`IroUanE
Nabijarjach	nabijar*jax
sebjegramowanju	sEbe*^EgramowaJu
pśirězujucych	ps+irIzujuts3/*+x
rozchytujo	rOsx3/*+tujO
šesnastem	s`EsnastEm
barłožoneje	barwOz`OnejE
styrišancowy	st3/*+ris`antsoU3/*+
bórojske	b3rOYsk*jE
maturitnem	ma'turitnEm
wótmólowane	w3tmEloUanE
wózebnuch	w3zEbnux
pódrytem	p3dr3/*+tEm
sparalyzěrowane	sparali'zIrowanE
wacharjami	waxar*jami
tśiłopjenowych	ts+iwOpe*^Enow3/*+x
spakowani	spakoUaJi
zamrějotej	zamrejOtej
śopłotnego	s+OpwOtnEgO
astronawtiskim	astro'nawtiskim
pśekśicyli	ps+Eks+its3/*+li
wukórjenjowat	huk3r*jeJoUat
bahrainskima	baraInskima
cechy	tsEx3/*+
zmakanjami	zmakaJami
wobsušyjom	hOpsus`3/*+jOm
pódsajźonki	p3tsaIz+ONki
wobwězbowej	hObwIzboUej
wušćurnučkemu	hus+ts+urnuts`k*jEmu
pśěźenaki	ps+Iz+Enaki
płatki	pwatki
zakałnjom	zakaUJOm
Kijcoju	kijtsOYu
Plawy	plaU3/*+
integralny	integraln3/*+
wopšajanemu	hOps`aIanEmu
źejucymi	z+ejuts3/*+mi
wyrkajucu	w3/*+rkaIutsu
štublowana	s`tubloUana
rozchyśichu	rOsx3/*+s+ixu
spartowem	SpartoUEm
pśemótaneju	ps+EmEtaneju
wupórěźaneju	hup3rIz+aneju
nagaruju	nagaruju
zdatěrujtej	zdatIrujtej
maslaty	maslat3/*+
styrinogateje	st3/*+rinOgatejE
wobwězujuce	hObwIzujutsE
skamsyštej	skams3/*+s`tej
Swětliku	swItliku
klimawědowu	klimaUIdoUu
kawkoma	kaUkOma
ruśanemu	rus+anEmu
Janašam	janas`am
weteranow	vEtE'ranow
kšocenjachmy	ks`OtsEJaxm3/*+
nuzkanego	nuskanEgO
reciproknego	retsi'proknEgO
bjatowaŕ	bjatoUar*j
brunyma	brun3/*+ma
dopśezymnjejmej	dOps+Ez3/*+mnejmej
zabocychmej	zabOts3/*+xmej
nakopichmy	nakOpixm3/*+
pśimjelatej	ps+ime*^Elatej
wuknjarjeju	hukJar*jeju
wusměškujśo	husmIs`kujs+O
Purikowskem	purikoUsk*jEm
biochemikarjeju	bioxEmikar*jeju
wukmaniłej	hukmaJiwej
klakocucyma	klakOtsuts3/*+ma
rasterowat	rastEroUat
zakubłowanje	zakubwoUaJE
kanunoweje	ka'nunowejE
cesćigódnej	'tsEsts+iˌgEdnej
wobcesali	hOptsEsali
Wěclikowu	wItslikoUu
póžerani	p3z`EraJi
nizanjoma	JizaJOma
tobowani	tOboUaJi
wukłośišćo	hukwOs+is+ts+O
Mósaka	mEsaka
turnaŕnja	turnar*jJa
pilěrowanymi	pi'lIrowan3/*+mi
zapłaśenjam	zapwas+EJam
bźezstatkownosću	bz+EsstatkoUnOsts+u
klempnariś	kl*jEmpnaris+
pówopacnjowanych	p3hOpatsJoUan3/*+x
lalach	lalax
flopydiska	'flOpiˌd1ska
internalizěrowaneju	1ntErnali'zIrowaneju
wutšachajmej	huts`axaImej
wudrěwarja	hudrIwar*ja
tśeknuch	ts+Eknux
pśedisponěrowaś	ps+EdispOnIroUas+
pókisnjenjam	p3kisJEJam
pśismalenja	ps+ismal*jEJa
wótsukujośo	w3tsukujOs+O
flirtował	flErtoUaU
fugujmej	fugujmej
zagnanyma	zagnan3/*+ma
wobšćitanymi	hOps+ts+itan3/*+mi
łoboźiskeju	wObOz+iskeju
zabricane	zabritsanE
reformujuceje	re'fOrmujutsejE
wurybujotej	hur3/*+bujOtej
rozbogaśonyma	rOzbOgas+On3/*+ma
pśekiwat	ps+Ekiwat
wulězony	hulIzOn3/*+
pśewulěknjonu	ps+EwulIkJOnu
wótsunjonym	w3tsuJOn3/*+m
rozplandrowanych	rOsplandroUan3/*+x
wóskócyłej	w3sk3ts3/*+wej
štorněrowašo	StOr'nIrowas`O
prozoweju	prozoUeju
dokukaś	dOkukas+
zapjakował	zapjakoUaU
didlujmej	didlujmej
pśederjowanych	ps+EdEr*joUan3/*+x
wóttrocowanjow	w3trOtsoUaJow
górucej	gErutsej
rozswěśijomej	rOswIs+ijOmej
kólejujucy	k3lejujuts3/*+
wobźiwujomy	hObz+iwujOm3/*+
mejlowanjami	mejloUaJami
ondulěrujmej	Ondu'lIrujmej
Mallorcanaŕ	ma'jOrkanar*j
pótutkachmej	p3tutkaxmej
mjawkotajuceju	mjaUkOtaIutseju
Radlice	radlitsE
pśesmyckowanego	ps+Esm3/*+tskoUanEgO
zawózdałej	zaU3zdawej
wobglědašćo	hObglIdas+ts+O
korupciskemu	kO'ruptsisk*jEmu
wutšurcanu	huts`urtsanu
zazwońtej	zazwOJtej
našleńtśijomej	nas`l*jeJts+ijOmej
roztśěsowani	rOsts+IsoUaJi
rybinem	r3/*+binEm
wobgryzowanja	hObgr3/*+zoUaJa
mólowity	mEloUit3/*+
nawótpušćowanem	naU3tpus+ts+oUanEm
tichtowaŕkoma	tixtoUar*jkOma
tichtowarkoma	tixtoUar*jkOma
póbadoriłej	p3badOriwej
šapce	s`aptsE
lutujuceje	lutujutsejE
bulldoggam	buldOgam
wobiniśo	hObiJis+O
wótdalnjenja	w3dalJEJa
wugóspodarjujucej	hugEspOdar*jujutsej
pśizamknjonyma	ps+izamkJOn3/*+ma
wótzběrujucymi	w3dzbIrujuts3/*+mi
wótwózowańskim	w3tw3zoUaJskim
Bobniku	bObJiku
zajśpineje	zaIs+pinejE
gnercanyma	gnErtsan3/*+ma
minusowe	minusoUE
zajmjeś	zaIme*^Es+
drjažnjace	dr*jaz`JatsE
smyckani	sm3/*+tskaJi
zemskowórješkowemu	zemskOw3r*jEs`koUEmu
pśedłypujucy	ps+Edw3/*+pujuts3/*+
sklimatizěrowa	sklimati'zIrowa
pikaś	pikas+
pógańcami	p3gaJtsami
wěrjobnosćach	wIr*jObnOsts+ax
ješćonego	jEs+ts+OnEgO
nakładowu	nakwadoUu
tamskimi	tamskimi
jetonach	ZE'tOnax
šmótlenjam	s`mEtl*jEJam
eksekutěrujtej	EksEku'tIrujtej
naznamjenjowachmy	nazname*^EJowaxm3/*+
kšamaŕstwam	ks`amar*jstwam
lightprodukśe	laItprod}ks+E
mawnjenim	maUJEJim
grjekskeje	gr*jEkskejE
Jankowowu	jaNkoUowu
storněrujośo	StOr'nIrujOs+O
pśidawajucymi	ps+idaUaIuts3/*+mi
wótwózonyma	w3tw3zOn3/*+ma
pśiwołaštej	ps+iwoUas`tej
wupacujuce	hupatsujutsE
rozglucony	rOzglutsOn3/*+
Bezku	bEsku
Šołśinam	s`oUs+inam
organistkoma	Organ1stkOma
póběžyjo	p3bIz`3/*+jO
naddimensionalne	nadimEnzionalnE
zreducěrowanych	zrEdutsIroUan3/*+x
źěłopytani	z+IwOp3/*+taJi
pśepłuwajmy	ps+EpwuwaIm3/*+
wunuźaŕkoma	hunuz+ar*jkOma
wunuźarkoma	hunuz+ar*jkOma
omnibusarjach	OmJibusar*jax
póśišćujomy	p3s+is+ts+ujOm3/*+
rownanim	roUnaJim
pśižonam	ps+iz`Onam
simplificěrowane	z1mplifi'tsIrowanE
wobijaŕkoma	hObijar*jkOma
wobijarkoma	hObijar*jkOma
wótruluj	w3truluj
pśimótowanjow	ps+imEtoUaJow
pitne	pitnE
pśiśěgani	ps+is+IgaJi
pśiwěrjenjach	ps+iwIr*jeJax
mašinowych	mas`inoU3/*+x
pśijěli	ps+ijIli
zapójźeł	zap3jz+Ew
doźěłanjam	dOz+IwaJam
zapókłonjenjam	zap3kwOJeJam
gospelu	gOspElu
berzowe	bErzoUE
polonejzam	polonejzam
pomagamej	pOmagamej
rozzelenjone	rOzEl*jEJOnE
kólnu	k3lnu
wótłamujucych	w3twamujuts3/*+x
wujkujucej	hujkujutsej
Lěgnice	lIgJitsE
zatutkat	zatutkat
pśewalajśo	ps+EwalaIs+O
žłobce	z`wOptsE
sebjenadgódnośenjoma	sEbe*^EnadgEdnOs+eJOma
teoretizujucej	teore'tizujutsej
zestajaIo	zEstaIaIO
nalubujucej	nalubujutsej
hospitěrowana	hOspi'tIrowana
nablaranim	nablaraJim
wótchylowanego	w3tx3/*+loUanEgO
rozwórujucu	rOzw3rujutsu
Kwasnik	kwasJik
wuwenkowymi	huwENkoU3/*+mi
Chójcoma	x3jtsOma
roztopjonym	rOstOpjOn3/*+m
krepleceju	krEpl*jEtseju
trenujmej	trenujmej
cuśniwego	tsus+JiwEgO
wobkwitaśo	hOpkwitas+O
nawobraźaj	naUObraz+aI
wuformuju	hufOrmuju
gibnitej	gibJitej
speedwayjach	spidwa3/*+jax
jašćerisko	jas+ts+EriskO
wótžywjachmy	w3dz`3/*+wjaxm3/*+
pórěźajśo	p3rIz+aIs+O
pśežuwanjach	ps+Ez`uwaJax
puśu	pus+u
zwótskokowaštej	zw3tskOkoUas`tej
ritualizěrujuceju	rituali'zIrujutseju
lubkujucego	lupkujutsEgO
Edenam	edEnam
zmarnjechu	zmarJExu
merkantilneju	mErkan'tilneju
lynchowanjowu	l3/*+nCoUaJowu
wóškrabśo	w3s`kraps+O
ługa	wuga
zazdrjajmy	zazdr*jaIm3/*+
woměśowu	hOmIs+oUu
kralujośo	kralujOs+O
elastiskem	elastisk*jEm
zagłodnjonym	zagwOdJOn3/*+m
najmaI	naImaI
wobšyśa	hOps`3/*+s+a
wobeznajo	hObEznaIO
outputy	Output3/*+
zagrabanim	zagrabaJim
wusajźonyma	husaIz+On3/*+ma
pśesmasowanjami	ps+EsmasoUaJami
pódśě	p3ts+I
spowědachu	spoUIdaxu
kśěkemu	ks+Ik*jEmu
wudechnjenjam	hudExJeJam
wótnamakujmej	w3tnamakujmej
pśegroblickowanych	ps+EgrOblitskoUan3/*+x
zlodnjowachmy	zlOdJoUaxm3/*+
Pawoły	paUoU3/*+
dowupłaśowašćo	doUupwas+owas+ts+O
kórabja	k3rabja
chłoźakach	xwOz+akax
pśelejtej	ps+Elejtej
praktikum	praktik}m
błuźonyma	buz+On3/*+ma
sćěnawatej	sts+InaUatej
Wagnerow	vagnEroU
molybdenowu	molyb'denowu
Hejnišowu	hejJis`oUu
blabocu	blabOtsu
trikowyma	trikoU3/*+ma
zajěkaneje	zaIIkanejE
wuzawrośowanja	huzaUrOs+oUaJa
fonematiske	fone'matisk*jE
managerowej	mEnEdZEroUej
recenzěrujtej	rEtsEn'zIrujtej
Dachowam	daxoUam
Šwjercam	s`we*^Ertsam
chwalenjoma	xwal*jeJOma
kipotach	kipOtax
rozsecechu	rOsEtsExu
wótkidnjenjeju	w3tkidJeJeju
waśe	was+E
nagłupu	nagwupu
wótkwitujśo	w3tkwitujs+O
emisijami	e'm1sijami
dopórěźowany	dOp3rIz+oUan3/*+
zašywašćo	zas`3/*+was+ts+O
špódow	s`p3doU
zrewolucioněrowała	zrEwOlutsiO'nIrowawa
wupadnjonym	hupadJOn3/*+m
pśelasćiłej	ps+Elasts+iwej
gongow	gONoU
wulasćił	hulasts+iw
wunuchnut	hunuxnut
todlowašo	tOdloUas`O
rumaška	rumas`ka
lichomyslona	lixOm3/*+slOna
Ladkow	latkoU
zezłamowałej	zEzwamoUaUej
wóttšašonym	w3ts`as`On3/*+m
pśiwězowaneju	ps+iwIzoUaneju
myram	m3/*+ram
registrowymi	rEgistroU3/*+mi
wubabjonu	hubabjOnu
zrozpólěcowaś	zrOsp3lItsoUas+
zašupowanymi	zas`upoUan3/*+mi
suźecu	suz+Etsu
wóźewana	w3z+Ewana
nakreslujuceje	nakrEslujutsejE
wótšejdujucem	w3ts`ejdujutsEm
zasedowali	zasEdoUali
nadrědowachu	nadrIdoUaxu
gjagate	gjagatE
póstergnuchmy	p3stErgnuxm3/*+
Tatry	tatr3/*+
pśepóda	ps+Ep3da
jotěrujucej	jO'tIrujutsej
wucirklowašćo	huts1rkloUas+ts+O
fotogena	foto'gena
carnił	tsarJiw
nakósnjenjam	nak3sJeJam
wótwažowanjoma	w3twaz`oUaJOma
wuwandrujom	huwandrujOm
mjakocmej	mjakOtsmej
tśinkotkowu	ts+iNkOtkoUu
wobmarznimej	hObmarzJimej
wobšancujuceju	hOps`antsujutseju
wuwabnej	huwabnej
měsćaŕka	mIsts+ar*jka
měsćarka	mIsts+ar*jka
wumólarjenjowu	humElar*jeJoUu
wubantowachmy	hubantoUaxm3/*+
póštapał	p3s`tapaU
šćipate	s+ts+ipatE
pšostota	ps`OstOta
pśebardowanja	ps+EbardoUaJa
Zakrjowu	zakr*joUu
pśitwarjowanim	ps+itwar*joUaJim
Pśibrjogi	ps+ibr*jOgi
Běrow	bI'row
wótbłomjenyjomy	w3dbwOme*^En3/*+jOm3/*+
sańkowej	saNkoUej
pśescynjowanjeju	ps+Ests3/*+JoUaneju
pśigroźonyma	ps+igrOz+On3/*+ma
preparěrowanjoma	prEpa'rIrowaJOma
eksistowany	E'ks1stowan3/*+
wobzwarnowanym	hObzwarnoUan3/*+m
wobsajźujucem	hOpsaIz+ujutsEm
spletajucem	spl*jEtaIutsEm
terminologiskim	tErmino'logiskim
fonje	foJE
dowuknjenje	doUukJeJE
pśebydnjośo	ps+Eb3/*+dJOs+O
winglecym	wiNgl*jEts3/*+m
scarowanej	stsaroUanej
zakšywarjow	zaks`3/*+war*joU
wurozćěgowanje	hurOsts+IgoUaJE
copajucem	tsOpaIutsEm
dopomagajucu	dOpOmagaIutsu
Wójśecha	w3js+Exa
psychologijowu	psyColo'gijowu
samopóstajeńskimi	'samOˌp3staIeJskimi
turany	turan3/*+
pśewisanjowu	ps+EwisaJoUu
tkajaŕskeje	tkaIar*jskejE
gramnjechu	gramJExu
póbarwjowanjami	p3barwjoUaJami
spśeběrajośo	sps+EbIraIOs+O
dekadiskeje	de'kadiskejE
wóśichowanem	w3s+ixoUanEm
bujnit	bujJit
płunarjom	pwunar*jOm
Branku	braNku
staruškowu	starus`koUu
drjewowe	dr*jEwoUE
stanušćo	stanus+ts+O
nozyskoma	nOz3/*+skOma
surogatach	zuro'gatax
Njebacowu	JEbatsoUu
zawołanjoma	zaUoUaJOma
wóseński	w3sEJski
